,Arolla / Météo (Bricola - Pluviomètre - mm),C: Arolla / Météo (Bricola - Pluviomètre - mm) (1. Année précédente),C: Arolla / Météo (Bricola - Pluviomètre - mm) (2. Année précédente),C: Arolla / Météo (Bricola - Pluviomètre - mm) (3. Année précédente),C: Arolla / Météo (Bricola - Pluviomètre - mm) (4. Année précédente)
5/16/2019 5:30,0.35,0.875,35.549999,45,20.700001
5/16/2019 5:45,0.35,0.875,35.549999,45,20.700001
5/16/2019 6:00,0.375,0.875,35.549999,45,20.700001
5/16/2019 6:15,0.35,0.875,35.549999,45,20.700001
5/16/2019 6:30,0.375,0.875,35.549999,45,20.700001
5/16/2019 6:45,0.35,0.875,35.549999,45,20.700001
5/16/2019 7:00,0.375,0.975,35.549999,45,20.700001
5/16/2019 7:15,0.35,1.375,35.549999,45,20.700001
5/16/2019 7:30,0.375,1.575,35.549999,45,20.700001
5/16/2019 7:45,0.375,1.575,35.549999,45,20.700001
5/16/2019 8:00,0.35,0.075,35.549999,45,20.700001
5/16/2019 8:15,0.375,0.075,35.549999,45,20.700001
5/16/2019 8:30,0.375,0.075,0.075,45,20.700001
5/16/2019 8:45,0.375,0.078409,0.075,45,20.700001
5/16/2019 9:00,0.375,0.081818,0.075,45,20.700001
5/16/2019 9:15,0.375,0.085227,0.075,45.025002,20.700001
5/16/2019 9:30,0.375,0.088636,0.075,45,20.700001
5/16/2019 9:45,0.375,0.092045,0.075,45.025002,20.700001
5/16/2019 10:00,0.375,0.095455,0.075,45.025002,20.700001
5/16/2019 10:15,0.375,0.098864,0.075,45,20.700001
5/16/2019 10:30,0.375,0.102273,0.075,45.025002,20.700001
5/16/2019 10:45,0.375,0.105682,0.075,45.025002,20.700001
5/16/2019 11:00,0.375,0.109091,0.075,45.025002,20.700001
5/16/2019 11:15,0.375,0.1125,0.075,45.025002,20.700001
5/16/2019 11:30,0.375,0.115909,0.075,45.125,20.700001
5/16/2019 11:45,0.375,0.119318,0.075,45.099998,20.700001
5/16/2019 12:00,0.375,0.122727,0.075,45.125,20.700001
5/16/2019 12:15,0.375,0.126136,0.075,45.125,20.700001
5/16/2019 12:30,0.375,0.129545,0.075,45.125,20.700001
5/16/2019 12:45,0.375,0.132955,0.075,45.125,20.700001
5/16/2019 13:00,0.375,0.136364,0.075,45.125,20.700001
5/16/2019 13:15,0.475,0.139773,0.075,45.125,20.700001
5/16/2019 13:30,0.575,0.143182,0.075,45.125,20.700001
5/16/2019 13:45,0.575,0.146591,0.075,45.125,20.700001
5/16/2019 14:00,0.575,0.15,0.075,45.125,21.225
5/16/2019 14:15,0.575,0.175,0.075,45.125,21.225
5/16/2019 14:30,0.575,0.15,0.075,45.125,21.225
5/16/2019 14:45,0.575,0.575,0.075,45.125,21.225
5/16/2019 15:00,0.575,0.775,0.075,45.125,21.225
5/16/2019 15:15,0.575,1.075,0.075,45.125,21.225
5/16/2019 15:30,0.575,1.275,0.075,45.125,21.225
5/16/2019 15:45,0.575,1.275,0.075,45.099998,21.225
5/16/2019 16:00,0.575,1.275,0.075,45.125,21.225
5/16/2019 16:15,0.575,0.075,0.075,45.125,21.225
5/16/2019 16:30,0.575,0.075,0.075,45.125,21.225
5/16/2019 16:45,0.575,0.075,0.075,45.125,21.225
5/16/2019 17:00,0.575,0.475,0.075,45.099998,21.225
5/16/2019 17:15,0.575,0.675,0.075,45.125,21.225
5/16/2019 17:30,0.575,0.675,0.075,45.099998,21.225
5/16/2019 17:45,0.575,0.675,0.075,45.125,21.225
5/16/2019 18:00,0.575,0.675,0.075,45.099998,21.200001
5/16/2019 18:15,0.575,0.675,0.075,45.125,21.225
5/16/2019 18:30,0.575,0.675,0.075,45.099998,21.225
5/16/2019 18:45,0.575,0.675,0.075,45.125,21.225
5/16/2019 19:00,0.575,0.675,0.075,45.099998,21.225
5/16/2019 19:15,0.575,0.675,0.075,45.125,21.200001
5/16/2019 19:30,0.575,0.675,0.075,45.099998,21.200001
5/16/2019 19:45,0.575,0.675,0.075,45.099998,21.200001
5/16/2019 20:00,0.575,0.675,0.075,45.099998,21.200001
5/16/2019 20:15,0.575,0.675,0.075,45.099998,21.200001
5/16/2019 20:30,0.575,0.675,0.075,45.099998,21.225
5/16/2019 20:45,0.575,0.675,0.075,45.099998,21.200001
5/16/2019 21:00,0.575,0.675,0.075,45.099998,21.200001
5/16/2019 21:15,0.575,0.675,0.075,45.099998,21.200001
5/16/2019 21:30,0.675,0.675,0.075,45.099998,21.200001
5/16/2019 21:45,0.675,0.675,0.075,45.125,21.225
5/16/2019 22:00,0.675,0.675,0.075,45.099998,21.200001
5/16/2019 22:15,0.675,0.675,0.075,45.224998,21.200001
5/16/2019 22:30,0.675,0.675,0.075,45.224998,21.200001
5/16/2019 22:45,0.675,0.675,0.075,45.224998,21.200001
5/16/2019 23:00,0.675,0.675,0.075,45.224998,21.200001
5/16/2019 23:15,0.675,0.675,0.075,45.200001,21.225
5/16/2019 23:30,0.675,0.675,0.075,45.200001,21.200001
5/16/2019 23:45,0.675,0.675,0.075,45.200001,21.225
5/17/2019 0:00,0.675,0.675,0.075,45.200001,21.200001
5/17/2019 0:15,0.675,0.675,0.075,45.200001,21.225
5/17/2019 0:30,0.675,0.675,0.075,45.200001,21.200001
5/17/2019 0:45,0.675,0.675,0.075,45.200001,21.225
5/17/2019 1:00,0.675,0.675,0.075,45.224998,21.200001
5/17/2019 1:15,0.675,0.675,0.075,45.200001,21.200001
5/17/2019 1:30,0.675,0.675,0.075,45.200001,21.200001
5/17/2019 1:45,0.675,0.675,0.075,45.224998,21.200001
5/17/2019 2:00,0.675,0.675,0.075,45.200001,21.225
5/17/2019 2:15,0.675,0.675,0.075,45.224998,21.200001
5/17/2019 2:30,0.675,0.675,0.075,45.200001,21.225
5/17/2019 2:45,0.675,0.675,0.075,45.224998,21.200001
5/17/2019 3:00,0.675,0.675,0.075,45.200001,21.225
5/17/2019 3:15,0.675,0.675,0.075,45.200001,21.200001
5/17/2019 3:30,0.675,0.675,0.075,45.224998,21.225
5/17/2019 3:45,0.675,0.675,0.075,45.200001,21.200001
5/17/2019 4:00,0.675,0.675,0.075,45.224998,21.225
5/17/2019 4:15,0.675,0.675,0.075,45.200001,21.200001
5/17/2019 4:30,0.675,0.675,0.075,45.224998,21.200001
5/17/2019 4:45,0.675,0.675,0.075,45.200001,21.200001
5/17/2019 5:00,0.675,0.675,0.075,45.224998,21.200001
5/17/2019 5:15,0.675,0.675,0.075,45.200001,21.200001
5/17/2019 5:30,0.675,0.675,0.075,45.224998,21.200001
5/17/2019 5:45,0.675,0.675,0.075,45.224998,21.200001
5/17/2019 6:00,0.675,0.675,0.075,45.200001,21.200001
5/17/2019 6:15,0.675,0.675,0.075,45.200001,21.225
5/17/2019 6:30,0.675,0.675,0.075,45.200001,21.200001
5/17/2019 6:45,0.675,0.675,0.075,45.200001,21.225
5/17/2019 7:00,0.675,0.675,0.075,45.200001,21.200001
5/17/2019 7:15,0.675,0.675,0.075,45.200001,21.225
5/17/2019 7:30,0.675,0.675,0.075,45.200001,21.200001
5/17/2019 7:45,0.675,0.675,0.075,45.200001,21.225
5/17/2019 8:00,0.675,0.675,0.075,45.200001,21.200001
5/17/2019 8:15,0.675,0.675,0.075,45.200001,21.225
5/17/2019 8:30,0.675,0.675,0.075,45.224998,21.225
5/17/2019 8:45,0.675,0.675,0.075,45.224998,21.225
5/17/2019 9:00,0.675,0.675,0.075,45.224998,21.225
5/17/2019 9:15,0.675,0.675,0.075,45.200001,21.225
5/17/2019 9:30,0.675,0.675,0.075,45.224998,21.225
5/17/2019 9:45,0.675,0.675,0.075,45.224998,21.225
5/17/2019 10:00,0.675,0.675,0.075,45.224998,21.225
5/17/2019 10:15,0.675,0.675,0.075,45.200001,21.225
5/17/2019 10:30,0.675,0.675,0.075,45.224998,21.225
5/17/2019 10:45,0.675,0.675,0.075,45.224998,21.225
5/17/2019 11:00,0.675,0.675,0.075,45.224998,21.225
5/17/2019 11:15,0.675,0.675,0.075,45.224998,21.625
5/17/2019 11:30,0.675,0.675,0.075,45.724998,21.625
5/17/2019 11:45,0.675,0.675,0.075,45.724998,21.625
5/17/2019 12:00,0.675,0.675,0.075,45.724998,21.625
5/17/2019 12:15,0.675,0.675,0.075,45.724998,21.625
5/17/2019 12:30,0.675,0.675,0.075,45.724998,21.625
5/17/2019 12:45,0.675,0.675,0.075,45.724998,21.625
5/17/2019 13:00,0.675,0.675,0.075,45.724998,21.625
5/17/2019 13:15,0.675,0.675,0.075,45.724998,21.625
5/17/2019 13:30,0.675,0.675,0.075,45.724998,21.625
5/17/2019 13:45,0.675,0.675,0.075,45.724998,21.625
5/17/2019 14:00,0.675,0.675,0.075,45.724998,21.625
5/17/2019 14:15,0.675,0.675,0.075,45.724998,21.625
5/17/2019 14:30,0.675,0.675,0.075,45.724998,21.625
5/17/2019 14:45,0.675,0.675,0.075,45.724998,21.625
5/17/2019 15:00,0.675,0.675,0.075,45.724998,21.625
5/17/2019 15:15,0.675,0.675,0.075,45.724998,21.625
5/17/2019 15:30,0.675,0.675,0.075,45.724998,21.625
5/17/2019 15:45,0.675,0.675,0.075,45.724998,21.625
5/17/2019 16:00,0.675,0.675,0.075,45.724998,21.625
5/17/2019 16:15,0.675,0.675,0.075,45.724998,21.625
5/17/2019 16:30,0.675,0.675,0.075,45.724998,21.625
5/17/2019 16:45,0.675,0.675,0.075,45.724998,21.625
5/17/2019 17:00,0.675,0.675,0.075,45.724998,21.625
5/17/2019 17:15,0.675,0.675,0.075,45.724998,21.625
5/17/2019 17:30,0.675,0.675,0.075,45.724998,21.625
5/17/2019 17:45,0.675,0.675,0.075,45.724998,21.625
5/17/2019 18:00,0.675,0.675,0.075,45.724998,21.625
5/17/2019 18:15,0.675,0.775,0.075,45.724998,21.625
5/17/2019 18:30,0.675,0.775,0.075,45.724998,21.625
5/17/2019 18:45,0.675,0.775,0.075,45.724998,21.625
5/17/2019 19:00,0.675,0.775,0.075,45.724998,21.625
5/17/2019 19:15,0.675,0.775,0.075,45.724998,21.625
5/17/2019 19:30,0.675,0.775,0.075,45.724998,21.625
5/17/2019 19:45,0.675,0.775,0.075,45.724998,21.625
5/17/2019 20:00,0.675,0.775,0.075,45.724998,21.625
5/17/2019 20:15,0.675,0.775,0.075,45.724998,21.625
5/17/2019 20:30,0.675,0.775,0.075,45.724998,21.625
5/17/2019 20:45,0.675,0.775,0.075,45.724998,21.625
5/17/2019 21:00,0.675,0.775,0.075,45.724998,21.625
5/17/2019 21:15,0.675,0.775,0.075,45.724998,21.625
5/17/2019 21:30,0.675,0.775,0.075,45.724998,21.625
5/17/2019 21:45,0.775,0.775,0.075,45.724998,21.625
5/17/2019 22:00,0.775,0.775,0.075,45.724998,21.625
5/17/2019 22:15,0.775,0.775,0.075,45.724998,21.625
5/17/2019 22:30,0.775,0.775,0.075,45.724998,21.625
5/17/2019 22:45,0.875,0.775,0.075,45.724998,21.625
5/17/2019 23:00,0.875,0.775,0.075,45.724998,21.625
5/17/2019 23:15,0.875,0.775,0.075,45.724998,21.625
5/17/2019 23:30,0.975,0.775,0.075,45.724998,21.625
5/17/2019 23:45,0.975,0.775,0.075,45.724998,21.625
5/18/2019 0:00,0.975,0.775,0.075,45.724998,21.625
5/18/2019 0:15,1.075,0.775,0.075,45.724998,21.625
5/18/2019 0:30,1.075,0.775,0.075,45.724998,21.625
5/18/2019 0:45,1.075,0.775,0.075,45.724998,21.625
5/18/2019 1:00,1.075,0.775,0.075,45.724998,21.625
5/18/2019 1:15,1.175,0.775,0.075,45.724998,21.625
5/18/2019 1:30,1.175,0.775,0.075,45.724998,21.625
5/18/2019 1:45,1.175,0.775,0.075,45.724998,21.625
5/18/2019 2:00,1.175,0.775,0.075,45.724998,21.625
5/18/2019 2:15,1.175,0.775,0.075,45.724998,21.625
5/18/2019 2:30,1.175,0.775,0.075,45.724998,21.625
5/18/2019 2:45,1.175,0.775,0.075,45.724998,21.625
5/18/2019 3:00,1.175,0.775,0.075,45.724998,21.625
5/18/2019 3:15,1.175,0.775,0.075,45.724998,21.625
5/18/2019 3:30,1.175,0.775,0.075,45.724998,21.625
5/18/2019 3:45,1.175,0.775,0.075,45.724998,21.625
5/18/2019 4:00,1.175,0.775,0.075,45.724998,21.625
5/18/2019 4:15,1.175,0.775,0.075,45.724998,21.625
5/18/2019 4:30,1.175,0.775,0.075,45.724998,21.625
5/18/2019 4:45,1.175,0.775,0.075,45.724998,21.625
5/18/2019 5:00,1.175,0.775,0.075,45.724998,21.625
5/18/2019 5:15,1.275,0.775,0.075,45.724998,21.625
5/18/2019 5:30,1.275,0.775,0.075,45.724998,21.625
5/18/2019 5:45,1.275,0.775,0.075,45.724998,21.625
5/18/2019 6:00,1.375,0.775,0.075,45.724998,21.625
5/18/2019 6:15,1.375,0.775,0.075,45.724998,21.625
5/18/2019 6:30,1.375,0.775,0.075,45.724998,21.625
5/18/2019 6:45,1.475,0.775,0.075,45.724998,21.625
5/18/2019 7:00,1.475,0.775,0.075,45.724998,21.625
5/18/2019 7:15,1.475,0.775,0.075,45.724998,21.625
5/18/2019 7:30,1.475,0.775,0.075,45.724998,21.625
5/18/2019 7:45,1.475,0.775,0.075,45.724998,21.625
5/18/2019 8:00,1.475,0.775,0.075,45.724998,21.625
5/18/2019 8:15,1.475,0.775,0.075,45.724998,21.625
5/18/2019 8:30,1.475,0.775,0.075,45.724998,21.625
5/18/2019 8:45,1.475,0.775,0.075,45.724998,21.625
5/18/2019 9:00,1.475,0.775,0.075,45.724998,21.625
5/18/2019 9:15,1.475,0.775,0.075,45.724998,21.625
5/18/2019 9:30,1.475,0.775,0.075,45.724998,21.625
5/18/2019 9:45,1.475,0.775,0.075,45.724998,21.625
5/18/2019 10:00,1.475,0.775,0.075,45.724998,21.625
5/18/2019 10:15,1.475,0.775,0.075,45.724998,21.625
5/18/2019 10:30,1.475,0.775,0.15,45.724998,21.625
5/18/2019 10:45,1.475,0.775,0.15,45.724998,21.625
5/18/2019 11:00,1.475,0.775,0.15,45.724998,21.625
5/18/2019 11:15,1.475,0.775,0.15,45.724998,21.625
5/18/2019 11:30,1.475,0.775,0.15,45.724998,21.625
5/18/2019 11:45,1.475,0.775,0.15,46.125,21.625
5/18/2019 12:00,1.475,0.775,0.275,46.125,21.625
5/18/2019 12:15,1.475,0.775,0.275,46.125,21.625
5/18/2019 12:30,1.475,0.775,0.275,46.125,21.625
5/18/2019 12:45,1.475,0.775,0.275,46.125,21.625
5/18/2019 13:00,1.475,0.775,0.275,46.125,21.625
5/18/2019 13:15,1.475,0.775,0.275,46.125,21.625
5/18/2019 13:30,1.475,0.775,0.275,46.125,21.625
5/18/2019 13:45,1.475,0.775,0.275,46.125,21.625
5/18/2019 14:00,1.475,0.775,0.25,46.125,21.625
5/18/2019 14:15,1.475,0.775,0.275,46.125,21.625
5/18/2019 14:30,1.475,0.775,0.275,46.125,21.625
5/18/2019 14:45,1.475,0.775,0.275,46.125,21.625
5/18/2019 15:00,1.575,0.775,0.25,46.125,21.625
5/18/2019 15:15,1.575,0.775,0.375,46.125,21.625
5/18/2019 15:30,1.575,0.775,0.375,46.125,21.625
5/18/2019 15:45,1.575,0.775,0.375,46.125,21.625
5/18/2019 16:00,1.575,0.775,0.375,46.125,21.625
5/18/2019 16:15,1.575,0.775,0.575,46.125,21.625
5/18/2019 16:30,1.575,0.775,0.575,46.125,21.625
5/18/2019 16:45,1.575,0.775,0.575,46.125,21.625
5/18/2019 17:00,1.575,0.775,0.575,46.125,21.625
5/18/2019 17:15,1.575,0.775,0.575,46.125,21.625
5/18/2019 17:30,1.575,0.775,0.575,46.125,21.625
5/18/2019 17:45,1.575,0.775,0.575,46.125,21.625
5/18/2019 18:00,1.575,0.775,0.575,46.125,21.625
5/18/2019 18:15,1.575,0.775,0.575,46.125,21.625
5/18/2019 18:30,1.575,0.775,0.575,46.125,21.625
5/18/2019 18:45,1.575,0.775,0.575,46.125,21.625
5/18/2019 19:00,1.575,0.775,0.575,46.125,21.625
5/18/2019 19:15,1.575,0.775,0.575,46.125,21.625
5/18/2019 19:30,1.575,0.775,0.575,46.125,21.625
5/18/2019 19:45,1.675,0.775,0.55,46.125,21.625
5/18/2019 20:00,1.675,0.775,0.575,46.125,21.625
5/18/2019 20:15,1.675,0.775,0.575,46.125,21.625
5/18/2019 20:30,1.675,0.775,0.675,46.125,21.625
5/18/2019 20:45,1.775,0.775,0.675,46.125,21.625
5/18/2019 21:00,1.775,0.775,0.675,46.125,21.625
5/18/2019 21:15,1.775,0.775,0.675,46.125,21.625
5/18/2019 21:30,1.775,0.775,0.675,46.125,21.625
5/18/2019 21:45,1.775,0.775,0.675,46.125,21.625
5/18/2019 22:00,1.775,0.775,0.675,46.125,21.625
5/18/2019 22:15,1.775,0.775,0.675,46.125,21.625
5/18/2019 22:30,1.775,0.775,0.675,46.125,21.625
5/18/2019 22:45,1.775,0.775,0.675,46.125,21.625
5/18/2019 23:00,1.775,0.775,0.675,46.125,21.625
5/18/2019 23:15,1.775,0.775,0.775,46.125,21.625
5/18/2019 23:30,1.775,0.775,0.775,46.125,21.625
5/18/2019 23:45,1.775,0.775,0.775,46.125,21.625
5/19/2019 0:00,1.775,0.775,0.775,46.125,21.625
5/19/2019 0:15,1.775,0.775,0.975,46.224998,21.625
5/19/2019 0:30,1.775,0.775,0.975,46.424999,21.625
5/19/2019 0:45,1.775,0.775,0.975,46.525002,21.625
5/19/2019 1:00,1.775,0.775,1.075,46.75,21.625
5/19/2019 1:15,1.775,0.775,1.175,46.950001,21.625
5/19/2019 1:30,1.775,0.775,1.175,47.349998,21.625
5/19/2019 1:45,1.775,0.775,1.175,48.275002,21.625
5/19/2019 2:00,1.775,0.775,1.175,48.875,21.625
5/19/2019 2:15,1.775,0.775,1.175,49.075001,21.625
5/19/2019 2:30,1.775,0.775,1.175,49.375,21.625
5/19/2019 2:45,1.775,0.775,1.475,49.474998,21.625
5/19/2019 3:00,1.775,0.775,1.675,49.775002,21.625
5/19/2019 3:15,1.775,0.775,2.3,49.775002,21.625
5/19/2019 3:30,1.775,0.775,2.7,49.875,21.625
5/19/2019 3:45,1.775,0.775,3.1,49.900002,21.625
5/19/2019 4:00,1.775,0.775,3.325,49.875,21.625
5/19/2019 4:15,1.775,0.775,3.5,49.900002,21.625
5/19/2019 4:30,1.775,0.775,3.725,49.875,21.625
5/19/2019 4:45,1.775,0.775,3.725,49.900002,21.625
5/19/2019 5:00,1.775,0.775,4.025,49.875,21.625
5/19/2019 5:15,1.775,0.775,4.125,49.900002,21.625
5/19/2019 5:30,1.775,0.775,4.125,0.25,21.625
5/19/2019 5:45,1.875,0.775,4.125,0.575,21.625
5/19/2019 6:00,1.975,0.775,4.225,0.975,21.625
5/19/2019 6:15,1.975,0.775,4.525,1.275,21.625
5/19/2019 6:30,1.975,0.775,5.125,1.375,21.625
5/19/2019 6:45,1.975,0.775,5.225,1.375,21.625
5/19/2019 7:00,2.1,0.775,5.35,1.375,21.625
5/19/2019 7:15,2.1,0.775,5.45,1.375,21.625
5/19/2019 7:30,2.075,0.775,5.55,1.375,21.625
5/19/2019 7:45,2.1,0.775,5.75,1.375,21.625
5/19/2019 8:00,2.1,0.775,5.85,1.375,21.625
5/19/2019 8:15,2.1,0.775,5.85,1.475,21.625
5/19/2019 8:30,2.1,0.775,5.95,1.475,21.625
5/19/2019 8:45,2.1,0.775,6.15,1.475,21.625
5/19/2019 9:00,2.1,0.775,6.15,1.475,21.625
5/19/2019 9:15,2.1,0.775,6.15,1.475,21.625
5/19/2019 9:30,2.1,0.775,6.15,1.475,21.625
5/19/2019 9:45,2.1,0.775,6.15,1.475,21.625
5/19/2019 10:00,2.1,0.775,6.15,1.475,21.625
5/19/2019 10:15,2.1,0.775,6.15,1.475,21.625
5/19/2019 10:30,2.1,0.775,6.15,1.475,21.625
5/19/2019 10:45,2.1,0.775,6.15,1.475,21.625
5/19/2019 11:00,2.1,0.975,6.15,1.475,21.625
5/19/2019 11:15,2.1,1.075,6.15,1.475,21.625
5/19/2019 11:30,2.1,1.075,6.15,1.575,21.625
5/19/2019 11:45,2.1,1.075,6.15,1.575,21.625
5/19/2019 12:00,2.1,1.075,6.15,1.575,21.625
5/19/2019 12:15,2.1,1.075,6.15,1.675,21.625
5/19/2019 12:30,2.2,1.075,6.15,1.7,21.625
5/19/2019 12:45,2.4,1.075,6.35,1.7,21.625
5/19/2019 13:00,2.4,1.075,6.85,1.7,21.625
5/19/2019 13:15,2.6,1.075,7.075,1.7,21.625
5/19/2019 13:30,2.8,1.075,7.775,1.7,21.725
5/19/2019 13:45,3,1.075,8.5,1.675,21.725
5/19/2019 14:00,3.4,1.075,9.825,1.7,22.325001
5/19/2019 14:15,3.5,1.075,10.825,1.7,22.950001
5/19/2019 14:30,3.7,1.075,11.025,1.7,23.049999
5/19/2019 14:45,3.925,1.075,11.025,1.7,23.049999
5/19/2019 15:00,4.325,1.075,11.025,1.7,23.049999
5/19/2019 15:15,4.825,1.075,11.025,1.7,23.049999
5/19/2019 15:30,5.125,1.075,11.025,1.7,23.049999
5/19/2019 15:45,5.325,1.075,11.125,1.675,23.049999
5/19/2019 16:00,5.75,1.075,11.225,1.7,23.049999
5/19/2019 16:15,5.95,1.075,11.225,1.675,23.049999
5/19/2019 16:30,6.15,1.075,11.25,1.7,23.049999
5/19/2019 16:45,6.25,1.075,11.25,1.675,23.049999
5/19/2019 17:00,6.25,1.075,11.25,1.7,23.049999
5/19/2019 17:15,6.25,1.075,11.25,1.675,23.049999
5/19/2019 17:30,6.575,1.075,11.25,1.675,23.049999
5/19/2019 17:45,6.55,1.075,11.225,1.7,23.049999
5/19/2019 18:00,6.575,1.075,11.25,1.675,23.049999
5/19/2019 18:15,6.55,1.075,11.25,1.7,23.15
5/19/2019 18:30,6.65,1.075,11.25,1.675,23.35
5/19/2019 18:45,6.65,1.075,11.225,1.675,23.65
5/19/2019 19:00,6.975,1.075,11.225,1.7,24.15
5/19/2019 19:15,7.275,1.075,11.225,1.675,24.775
5/19/2019 19:30,7.975,1.075,11.225,1.675,24.875
5/19/2019 19:45,8.575,1.075,11.225,1.675,24.975
5/19/2019 20:00,9.4,1.075,11.225,1.675,24.975
5/19/2019 20:15,10.525,1.275,11.225,1.675,24.975
5/19/2019 20:30,11.525,1.275,11.25,1.675,24.975
5/19/2019 20:45,12.95,1.475,11.225,1.675,24.975
5/19/2019 21:00,13.675,1.575,11.225,1.675,24.975
5/19/2019 21:15,14.375,1.575,11.225,1.675,25.075001
5/19/2019 21:30,14.975,1.575,11.225,1.675,25.075001
5/19/2019 21:45,15.6,1.575,11.225,1.675,25.075001
5/19/2019 22:00,16.1,1.575,11.225,1.675,25.075001
5/19/2019 22:15,16.4,1.575,11.25,1.675,25.075001
5/19/2019 22:30,16.825001,1.575,11.225,1.675,25.075001
5/19/2019 22:45,17.025,1.575,11.225,1.7,25.075001
5/19/2019 23:00,17.424999,1.575,11.225,1.675,25.075001
5/19/2019 23:15,17.725,1.575,11.225,1.675,25.075001
5/19/2019 23:30,18.35,1.575,11.25,1.675,25.075001
5/19/2019 23:45,18.75,1.575,11.225,1.675,25.275
5/20/2019 0:00,18.950001,1.575,11.225,1.675,25.375
5/20/2019 0:15,19.875,1.575,11.225,1.675,25.375
5/20/2019 0:30,20.674999,1.575,11.225,1.675,25.375
5/20/2019 0:45,21.6,1.575,11.225,1.675,25.375
5/20/2019 1:00,22.4,1.575,11.225,1.675,25.375
5/20/2019 1:15,23.225,1.575,11.225,1.675,25.375
5/20/2019 1:30,23.924999,1.575,11.225,1.675,25.375
5/20/2019 1:45,24.450001,1.575,11.225,1.675,25.375
5/20/2019 2:00,24.65,1.575,11.225,1.7,25.375
5/20/2019 2:15,24.85,1.575,11.225,1.675,25.375
5/20/2019 2:30,25.15,1.575,11.225,1.675,25.375
5/20/2019 2:45,25.35,1.575,11.225,1.675,25.674999
5/20/2019 3:00,25.450001,1.575,11.225,1.675,25.775
5/20/2019 3:15,25.65,1.575,11.25,1.7,25.9
5/20/2019 3:30,25.950001,1.575,11.225,1.675,26.1
5/20/2019 3:45,26.375,1.575,11.225,1.675,26.4
5/20/2019 4:00,26.975,1.575,11.225,1.675,26.700001
5/20/2019 4:15,27.6,1.575,11.225,1.675,27
5/20/2019 4:30,28.200001,1.575,11.225,1.675,27.1
5/20/2019 4:45,28.9,1.575,11.225,1.675,27.325001
5/20/2019 5:00,29.325001,1.575,11.25,1.675,27.525
5/20/2019 5:15,29.924999,1.575,11.225,1.675,27.825001
5/20/2019 5:30,30.424999,1.575,11.225,1.7,27.924999
5/20/2019 5:45,31.049999,1.575,11.225,1.675,28.025
5/20/2019 6:00,31.85,1.575,11.225,1.675,28.225
5/20/2019 6:15,33.075001,1.575,11.225,1.675,28.225
5/20/2019 6:30,33.799999,1.575,11.225,1.7,28.225
5/20/2019 6:45,34.5,1.575,11.225,1.675,28.225
5/20/2019 7:00,34.900002,1.575,11.225,1.675,28.225
5/20/2019 7:15,35.325001,1.575,11.225,1.675,28.225
5/20/2019 7:30,35.625,1.575,11.225,1.7,28.225
5/20/2019 7:45,36.025002,1.575,11.225,1.675,28.225
5/20/2019 8:00,36.424999,1.575,11.25,1.675,28.225
5/20/2019 8:15,36.724998,1.575,11.225,1.675,28.225
5/20/2019 8:30,37.049999,1.575,11.25,1.7,28.225
5/20/2019 8:45,37.25,1.575,11.25,1.7,28.225
5/20/2019 9:00,37.25,1.575,11.25,1.7,28.225
5/20/2019 9:15,37.450001,1.575,11.25,1.7,28.225
5/20/2019 9:30,37.549999,1.575,11.25,1.7,28.225
5/20/2019 9:45,37.650002,2.2,11.25,1.7,28.225
5/20/2019 10:00,37.849998,2.8,11.25,1.7,28.225
5/20/2019 10:15,37.950001,2.8,11.25,1.7,28.225
5/20/2019 10:30,38.150002,2.8,11.25,1.7,28.225
5/20/2019 10:45,38.150002,2.8,11.25,1.7,28.225
5/20/2019 11:00,38.150002,3,11.25,1.7,28.225
5/20/2019 11:15,38.150002,3.325,11.25,1.7,28.225
5/20/2019 11:30,38.474998,3.6,11.25,1.7,28.225
5/20/2019 11:45,38.775002,3.8,11.25,1.7,28.225
5/20/2019 12:00,38.974998,4.125,11.25,1.7,28.225
5/20/2019 12:15,39.275002,4.425,11.25,1.7,28.225
5/20/2019 12:30,39.275002,4.725,11.25,1.7,28.225
5/20/2019 12:45,39.674999,5.025,11.25,1.7,28.225
5/20/2019 13:00,39.775002,5.65,11.25,1.7,28.225
5/20/2019 13:15,39.799999,6.35,11.25,1.7,28.225
5/20/2019 13:30,40.099998,6.9,11.25,1.7,28.225
5/20/2019 13:45,40.099998,7.075,11.25,2,28.225
5/20/2019 14:00,40.5,7.075,11.25,2,28.325001
5/20/2019 14:15,40.900002,7.075,11.25,2,28.325001
5/20/2019 14:30,40.900002,7.075,11.25,2,28.325001
5/20/2019 14:45,41.525002,7.075,11.25,2,28.325001
5/20/2019 15:00,41.525002,7.075,11.25,2,28.325001
5/20/2019 15:15,41.924999,7.375,11.25,2,28.325001
5/20/2019 15:30,41.924999,7.375,11.225,2,28.325001
5/20/2019 15:45,41.924999,7.375,11.25,2,28.325001
5/20/2019 16:00,42.125,7.375,11.225,2,28.424999
5/20/2019 16:15,42.125,7.375,11.25,2,28.525
5/20/2019 16:30,42.125,7.375,11.25,2,28.525
5/20/2019 16:45,42.924999,7.375,11.25,2,28.525
5/20/2019 17:00,43.049999,7.375,11.225,2,28.525
5/20/2019 17:15,43.025002,7.375,11.225,2,28.525
5/20/2019 17:30,43.25,7.375,11.225,2,28.525
5/20/2019 17:45,43.549999,7.375,11.225,2,28.525
5/20/2019 18:00,43.549999,7.375,11.25,1.975,28.525
5/20/2019 18:15,43.849998,7.375,11.225,1.975,28.525
